eventid,gname
199801010001,Hutu extremists
199801010003,Loyalist Volunteer Forces (LVF)
199801040001,Kosovo Liberation Army (KLA)
199801040002,Kosovo Liberation Army (KLA)
199801050003,Hutu extremists
199801050004,Hutu extremists
199801070001,Continuity Irish Republican Army (CIRA)
199801090001,Basque Fatherland and Freedom (ETA)
199801110001,Fighting Guerrilla Formation
199801110002,Loyalist Volunteer Forces (LVF)
199801110003,Lashkar-e-Jhangvi
199801110004,Armed Islamic Group (GIA)
199801110005,Armed Islamic Group (GIA)
199801140002,Algerian Islamic Extremists
199801170003,May 15
199801170004,Algerian Islamic Extremists
199801180001,Hezbollah
199801180002,Loyalist Volunteer Forces (LVF)
199801190001,Alex Boncayao Brigade (ABB)
199801190003,Alex Boncayao Brigade (ABB)
199801200005,Irish National Liberation Army (INLA)
199801210001,Irish National Liberation Army (INLA)
199801210005,Armed Islamic Group (GIA)
199801210006,Armed Islamic Group (GIA)
199801220001,Liberation Tigers of Tamil Eelam (LTTE)
199801250002,Liberation Tigers of Tamil Eelam (LTTE)
199801250005,Harkat ul Ansar
199801250006,Continuity Irish Republican Army (CIRA)
199801250007,Conscientious Arsonists (CA)
199801260001,Liberation Tigers of Tamil Eelam (LTTE)
199801270001,Conscientious Arsonists (CA)
199801290001,Basque Fatherland and Freedom (ETA)
199801290002,Army of God
199802020001,Hutu extremists
199802020002,Revolutionary Workers' Council (Kakurokyo)
199802040001,United Liberation Front of Assam (ULFA)
199802040002,Union of Democratic Forces
199802040003,Algerian Islamic Extremists
199802060001,Corsican National Liberation Front (FLNC)
199802060002,Liberation Tigers of Tamil Eelam (LTTE)
199802070004,Armed Islamic Group (GIA)
199802080001,Algerian Islamic Extremists
199802100001,Irish Republican Army (IRA)
199802100002,Irish Republican Army (IRA)
199802100003,Ninjas
199802110001,Palestinian Extremists
199802120001,Armed Islamic Group (GIA)
199802120002,Hutu extremists
199802130001,Basque Fatherland and Freedom (ETA)
199802140002,Pattani United Liberation Organization (PULO)
199802150001,Liberation Tigers of Tamil Eelam (LTTE)
199802150005,Al-Ummah
199802150006,Al-Ummah
199802150007,Al-Ummah
199802150008,Al-Ummah
199802150009,Al-Ummah
199802150010,Al-Ummah
199802150011,Al-Ummah
199802150012,Al-Ummah
199802150013,Al-Ummah
199802150014,Al-Ummah
199802150015,Al-Ummah
199802150016,Al-Ummah
