eventid,nhostkid,nhours,ndays,hostkidoutcome_txt,nreleased
199801100001,4.0,,,,
199802040002,4.0,,,Hostage(s) released by perpetrators,4.0
199802150018,5.0,,,Hostage(s) released by perpetrators,5.0
199802200002,12.0,,,,
199802200003,10.0,,,Hostage(s) released by perpetrators,10.0
199802240002,15.0,,,,
199803200001,2.0,,8.0,Hostage(s) killed (not during rescue attempt),0.0
199803230001,27.0,,34.0,Combination,27.0
199803230003,17.0,,,,
199803230004,37.0,,33.0,Combination,14.0
199803250001,110.0,,5.0,Combination,90.0
199803270003,3.0,,,,
199804020003,19.0,,,,
199804090001,15.0,,,,
199804090002,15.0,,,,
199804150001,10.0,,9.0,Hostage(s) released by perpetrators,10.0
199805010002,1.0,,197.0,Hostage(s) released by perpetrators,1.0
199805040001,27.0,,,Combination,6.0
199805050006,2.0,,,,
199806200001,30.0,,,,
199807080001,3.0,,4.0,Hostage(s) released by perpetrators,3.0
199807210002,2.0,,4.0,Hostage(s) released by perpetrators,2.0
199807220001,,,,Combination,
199807310004,1.0,,,,
199808020007,1.0,,,,
199808030005,22.0,,,,
199808030008,30.0,,,,
199808040005,1.0,,,,
199808040006,1.0,,,,
199808040007,2.0,,,,
199808040008,1.0,,,,
199808040009,1.0,,,,
199808040010,3.0,,,,
199808040011,9.0,,,,
199808090005,97.0,6.0,,Hostage(s) released by perpetrators,97.0
199808240001,,,,Hostage(s) released by perpetrators,
199809050002,17.0,,,Hostage(s) released by perpetrators,17.0
199809070001,13.0,,,Hostage(s) released by perpetrators,13.0
199809110006,3.0,,,Hostage(s) released by perpetrators,3.0
199809130006,20.0,,,,
199809200004,2.0,,1.0,Hostage(s) killed (not during rescue attempt),0.0
199810020006,4.0,,68.0,Combination,0.0
199810120002,20.0,2.0,,Combination,2.0
199810160006,1.0,,,,
199810170005,1.0,,,,
199810180003,2.0,,40.0,Hostage(s) released by perpetrators,2.0
199810210001,1.0,,,,
199810210002,19.0,,,,8.0
199810300001,40.0,7.0,,Successful Rescue,38.0
199811010001,45.0,,,,
199811030002,2.0,,,,
199811070003,34.0,,,,
199811080007,4.0,,,,
199811090002,7.0,,,,
199811150001,24.0,,,,
199811180001,10.0,,,Hostage(s) killed (not during rescue attempt),0.0
199811200003,40.0,,,,
199811230002,13.0,,,,
199811270005,6.0,,,,
199812030001,3.0,,,,
199812060002,4.0,,24.0,Hostage(s) released by perpetrators,4.0
199812280001,16.0,,1.0,Combination,13.0
199901050003,2.0,,,Hostage(s) released by perpetrators,2.0
199901060002,2.0,,7.0,Successful Rescue,2.0
199901080006,1.0,,5.0,Hostage(s) released by perpetrators,1.0
199901110003,3.0,,,Combination,1.0
199901120005,1.0,,10.0,Successful Rescue,1.0
199901170002,6.0,,18.0,Hostage(s) released by perpetrators,6.0
199901190002,,,,,
199901240001,11.0,,5.0,Hostage(s) released by perpetrators,11.0
199901250004,2.0,,,Combination,1.0
199901260001,5.0,,23.0,Hostage(s) released by perpetrators,5.0
199901310002,1.0,6.0,,Hostage(s) released by perpetrators,1.0
199902010001,14.0,,,,12.0
199902090002,2.0,,,,
199902090004,2.0,,,Combination,1.0
199902100002,4.0,,,,
199902140003,2.0,,1.0,Hostage(s) released by perpetrators,2.0
