eventid,attacktype
199801010001,Armed Assault
199801010002,Bombing/Explosion
199801010003,Armed Assault
199801020001,Bombing/Explosion
199801020002,Armed Assault
199801040001,Bombing/Explosion
199801040002,Bombing/Explosion
199801050001,Bombing/Explosion
199801050002,Bombing/Explosion
199801050003,Armed Assault
199801050004,Armed Assault
199801060002,Bombing/Explosion
199801060003,Armed Assault
199801060004,Armed Assault
199801070001,Bombing/Explosion
199801080001,Armed Assault
199801080002,Armed Assault
199801090001,Bombing/Explosion
199801090002,Bombing/Explosion
199801100001,Armed Assault
199801100001,Hostage Taking (Kidnapping)
199801100002,Bombing/Explosion
199801100003,Armed Assault
199801110001,Bombing/Explosion
199801110002,Armed Assault
199801110003,Armed Assault
199801110004,Bombing/Explosion
199801110004,Armed Assault
199801110005,Armed Assault
199801110005,Bombing/Explosion
199801120001,Bombing/Explosion
199801120002,Bombing/Explosion
199801120003,Bombing/Explosion
199801130001,Bombing/Explosion
199801130002,Armed Assault
199801130003,Bombing/Explosion
199801140001,Bombing/Explosion
199801140002,Bombing/Explosion
199801150001,Bombing/Explosion
199801170001,Armed Assault
199801170002,Bombing/Explosion
199801170003,Facility/Infrastructure Attack
199801170004,Bombing/Explosion
199801180001,Armed Assault
199801180002,Armed Assault
199801190001,Facility/Infrastructure Attack
199801190002,Armed Assault
199801190003,Bombing/Explosion
199801200001,Bombing/Explosion
199801200002,Bombing/Explosion
199801200003,Armed Assault
199801200004,Armed Assault
199801200004,Bombing/Explosion
199801200005,Armed Assault
199801210001,Armed Assault
199801210002,Bombing/Explosion
199801210003,Bombing/Explosion
199801210004,Bombing/Explosion
199801210005,Bombing/Explosion
199801210006,Bombing/Explosion
199801220001,Armed Assault
199801230001,Bombing/Explosion
199801230002,Armed Assault
199801240001,Bombing/Explosion
199801240002,Bombing/Explosion
199801240003,Bombing/Explosion
199801250001,Bombing/Explosion
199801250002,Bombing/Explosion
199801250003,Bombing/Explosion
199801250004,Bombing/Explosion
199801250005,Armed Assault
